,suicides_no,population,suicides_rate
1979,116454.0,1004137600.624491,0.0001159741453039655
1980,170600.0,1319940195.1224563,0.0001292482800587588
1981,194286.0,1450182001.3714397,0.0001339735287131294
1982,197785.0,1356330520.4979646,0.00014582360052429184
1983,200094.0,1453387529.7469468,0.00013767422377350307
1984,179123.0,1357424241.3714385,0.00013195800880867406
1985,209161.0,1564392916.9959302,0.0001337010655875682
1986,198621.0,1644676701.8694046,0.00012076598384000912
1987,193252.0,1712137366.4938962,0.0001128717845786756
1988,188460.0,1652704266.1183877,0.0001140312903303779
1989,190327.0,1667078172.1183877,0.00011416801154450237
1990,209875.0,1828567833.7428796,0.00011477561626489332
1991,209196.0,1837047653.4938962,0.00011387619673454218
1992,221116.0,1914022079.4938962,0.00011552426817274086
1993,231355.0,1809318382.8694053,0.0001278685952624287
1994,243748.0,1899661658.493897,0.0001283112700149194
1995,247343.0,1902304528.4938962,0.00013002282037136707
1996,251769.0,1994404073.493897,0.00012623770846944694
1997,249890.0,2051031001.7428803,0.00012183628613495063
1998,258847.0,2053928426.1183887,0.00012602532625208434
1999,259984.0,2089117956.7428803,0.00012444677868038532
2000,259905.0,2234837703.616354,0.00011629703560998131
2001,255071.0,2213706332.2408457,0.00011522350380675919
2002,260593.0,2306788503.8653374,0.00011296787701314665
2003,260621.0,2284859455.616354,0.00011406434621585772
2004,248885.0,2185883489.9918633,0.00011386013991117452
2005,244634.0,2163942791.7428803,0.00011305012356771556
2006,240764.0,2241890235.74288,0.00010739330416871175
2007,237211.0,2203108666.4938974,0.00010767103938522729
2008,239536.0,2350781550.8653383,0.00010189632461247843
2009,247324.0,2508368105.1143217,9.859956339571139e-05
2010,242639.0,2435161719.9918633,9.963978901607025e-05
2011,240668.0,2357754276.4938974,0.00010207509849494824
2012,237241.0,2306190780.118389,0.00010287136781798302
2013,230921.0,2431208481.1183887,9.498198192109515e-05
2014,229449.0,2367220003.244915,9.692761960674467e-05
2015,227986.38322629817,2304915677.648946,9.891311228306984e-05
2016,226533.0898657588,2244251178.0863185,0.00010093927635093164
2017,225089.0604865235,2185183344.9626727,0.0001030069449345764
2018,223654.2360355807,2127670154.6276731,0.00010511696822420228
2019,222228.55783635075,2071670689.477398,0.00010727021382554308
2020,220811.9675862864,2017145108.8436189,0.00010946756711661296
2021,219404.40735448844,1964054620.6492665,0.0001117099316117588
2022,218005.81957933673,1912361453.8099108,0.00011399822933317008
2023,216616.14706613618,1862028831.3616261,0.00011633340118999854
2024,215235.3329847778,1813020944.296119,0.00011871640736524422
2025,213863.32086741473,1765302926.0845056,0.00012114822771056633
